id,Espanol,English
1,"No habiamos tenido visita en años, ¿eres algun tipo de espia?. Es una broma, se bienvenido, si necesitas ayuda puedes ir al manantial de las aguas.","We didn't have some guest in many years!, you are some type of spy?, was a joke, Welcome."
2,"¡Ellos estan bajo tierra! ¿que debemos hacer?","They are UNDERGROUND! What shall we do!"
3,"¡He ganado!, ¡Soy el mejor!, siempre lo supe.","I win! I'm the best! I always Knew that"
4,"He sido vencido, creo que te he subestimado demasiado.","I've been defeated, I think i underestimated you"
5,"Enemigo ha resivido daño","Enemy have received damage"
6,"¡Jugador ha resivido daño!","Player have received damage"
7,"Presiona FIGHT para comenzar la lucha","Press FIGHT to start the game"
8,"¡Detenido!","Stop!"
9,"Aveces, estar perdidos es la clave para encontrarse con uno mismo.","Sometimes being lost is the key to finding yourself"
10,"¡Luchando!","Fighting!"
